temperature,humidity,ph,rainfall,soil Type
28.17489437,43.6672299,4.524171562,45.78172762,lime soil
36.30049702,56.03021253,4.672437054,101.6073988,lime soil
23.46168338,23.22197648,5.645435626,95.84253438,Loam
22.98666928,20.57940608,5.916779289,143.8584938,Loam
29.68361658,87.93598094,6.990095452,41.82490236,Red Soil
19.54317155,56.92831399,4.803564468,173.1686574,lime soil
15.43546065,18.37477907,5.607808432,139.0302034,lime soil
28.43430726,52.10010827,6.012719118,147.0414824,sandy
29.34594634,85.60472562,6.232836962,59.03629954,silt
24.18553163,46.68746847,6.669529416,177.3377996,Clay
27.46852989,87.17649,7.184398832,43.78420984,Loam
25.87682261,45.96341933,5.838508699,38.53254678,Loam
34.51934775,47.52980027,5.921666758,129.0064612,Loam
22.13974653,23.02251117,5.95561668,76.64128258,sandy
29.86860065,85.99127934,6.401455706,58.41394143,silt
28.07219563,82.9116472,6.478557136,49.61865305,silt
27.53632932,89.92908171,6.619891498,45.48591922,silt
26.65333029,59.79023382,7.550090941,36.91852635,Loam
27.91095209,64.70930606,3.692863601,32.67891866,lime soil
25.74679443,40.7192594,4.820788186,100.7791633,lime soil
18.31910448,34.69776639,4.964887857,107.4721605,lime soil
17.00067625,19.90790546,5.520880014,103.2926407,lime soil
24.84906168,22.89464642,5.608165195,62.21292186,Loam
36.51268371,57.92887167,6.03160778,122.6539694,sandy
28.19912143,53.50567601,8.709291688,52.13580529,silt
25.36140526,46.82652785,9.160691747,55.60523179,silt
31.01274943,62.40392519,3.504752314,63.77192383,lime soil
25.97948991,64.95585424,4.193189124,72.19245835,lime soil
19.25100056,47.70351758,5.374358869,149.063196,lime soil
23.78709569,24.35679348,5.948164454,119.6404412,sandy
27.68515114,81.94268594,6.227134139,54.62243308,silt
28.14720892,83.8001509,6.647965508,37.44800463,silt
28.79728147,80.45744422,6.725551062,44.30070517,Clay
27.95639663,83.52706038,6.921993878,43.25726752,Red Soil
27.60887393,86.13316408,7.012740397,43.80041104,Alluvial
29.02955344,61.09387478,8.840656256,72.98016599,silt
29.33743412,49.00323081,8.914074888,42.44054315,clay
27.9348279,66.45457122,4.722222454,145.3728801,lime soil
18.72987676,61.33186249,5.001038726,139.8710041,lime soil
24.80710166,45.01110015,5.023115055,188.4928637,lime soil
