N,P,K,temperature,humidity,ph,rainfall,NuContAvailable,AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),soil Type
39,18,55,20.19,45.74,5.56,606.88,N,65.28,76.71,14.11,13.42,Clay
71,37,20,32.48,40.84,7.05,286.2,"N,P,K",51.62,31.79,36.51,16.88,sandy
45,11,41,10.01,52.58,5.62,417.08,"N,P,K",57.27,15.72,30.27,58.05,Alluvial
24,47,32,34.92,42.57,5.74,904.87,"N,P,K",57.38,65.17,47.89,12.74,Alluvial
87,47,43,14.92,47.76,6.29,699.06,"N,P,K",45.39,18.81,20.45,15.48,silt
37,17,33,25.12,59.84,5.83,452.09,"N,P,K",67.08,25.6,26.07,34.6,silt
23,34,17,17.03,85.61,6.08,568.99,P,52.3,94.64,14.68,22.47,Red Soil
15,41,34,26.64,42.34,6.19,575.92,"N,P,K",56.72,51.34,24.31,52.12,Red Soil
47,9,34,29.06,52.55,6.72,765.18,"N,P,K",68.74,15.91,25.85,56.57,Loam
50,35,17,11.61,59.57,6.86,782.42,"N,P,K",77.63,11.69,47.56,23.49,Clay
19,46,27,21.59,53.11,7.45,604.6,"N,P,K",41.37,46.75,19.61,34.67,Clay
79,35,58,33.7,52.02,7.53,668.89,"N,P,K",49.62,10.44,47.62,18.88,sandy
84,27,29,23.17,56.41,5.8,624.2,"N,P,K",70.72,17.61,20.12,30.89,Alluvial
61,33,18,39.86,65.65,6.91,471.08,"N,P,K",47.47,70.35,38.16,30.06,lime soil
93,20,21,11.29,50.86,7.05,370.61,"P,K",57.02,53.29,38.35,32.7,Red Soil
28,17,13,29.52,59.47,7.12,966.37,"N,P,K",70.33,58.14,15.79,35.95,silt
46,10,23,11.35,65.49,7,352.58,"N,P,K",46.08,16.57,22.79,16.59,Clay
42,35,25,31.97,62.02,7.05,688.08,"N,P,K",51.49,22.23,17.96,47.34,Red Soil
53,7,34,14.1,52.19,7.3,842.59,"N,P,K",56.76,12.22,7.92,49.32,Clay
15,39,35,15.02,71.05,5.63,668.73,"N,P,K",42.05,52.32,31.25,48.18,Loam
64,22,31,11.37,54.7,7.46,834.46,"N,P,K",47.18,38.64,23.24,43.87,lime soil
58,11,9,28.84,66.44,7.1,920.4,"N,P,K",71.17,99.07,21.62,16.73,sandy
40,22,48,38.32,60.16,6.78,757.14,"N,P,K",74.79,66.67,34.06,27.92,Clay
